"Zip Codes, Cities, and Counties in Vermont",Zip_Code,
"05001, White River Junction, Windsor",05001,
"05009, White River Junction, Windsor",05009,
"05030, Ascutney, Windsor",05030,
"05031, Barnard, Windsor",05031,
"05032, Bethel, Windsor",05032,
"05033, Bradford, Orange",05033,
"05034, Bridgewater, Windsor",05034,
"05035, Bridgewater Corners, Windsor",05035,
"05036, Brookfield, Orange",05036,
"05037, Brownsville, Windsor",05037,
"05038, Chelsea, Orange",05038,
"05039, Corinth, Orange",05039,
"05040, East Corinth, Orange",05040,
"05041, East Randolph, Orange",05041,
"05042, East Ryegate, Caledonia",05042,
"05043, East Thetford, Orange",05043,
"05045, Fairlee, Orange",05045,
"05046, Groton, Caledonia",05046,
"05047, Hartford, Windsor",05047,
"05048, Hartland, Windsor",05048,
"05049, Hartland Four Corners, Windsor",05049,
"05050, Mc Indoe Falls, Caledonia",05050,
"05051, Newbury, Orange",05051,
"05052, North Hartland, Windsor",05052,
"05053, North Pomfret, Windsor",05053,
"05054, North Thetford, Orange",05054,
"05055, Norwich, Windsor",05055,
"05056, Plymouth, Windsor",05056,
"05058, Post Mills, Orange",05058,
"05059, Quechee, Windsor",05059,
"05060, Randolph, Orange",05060,
"05061, Randolph Center, Orange",05061,
"05062, Reading, Windsor",05062,
"05065, Sharon, Windsor",05065,
"05067, South Pomfret, Windsor",05067,
"05068, South Royalton, Windsor",05068,
"05069, South Ryegate, Caledonia",05069,
"05070, South Strafford, Orange",05070,
"05071, South Woodstock, Windsor",05071,
"05072, Strafford, Orange",05072,
"05073, Taftsville, Windsor",05073,
"05074, Thetford, Orange",05074,
"05075, Thetford Center, Orange",05075,
"05076, Topsham, Orange",05076,
"05077, Tunbridge, Orange",05077,
"05079, Vershire, Orange",05079,
"05081, Wells River, Orange",05081,
"05083, West Fairlee, Orange",05083,
"05084, West Hartford, Windsor",05084,
"05085, West Newbury, Orange",05085,
"05086, West Topsham, Orange",05086,
"05088, Wilder, Windsor",05088,
"05089, Windsor, Windsor",05089,
"05091, Woodstock, Windsor",05091,
"05101, Bellows Falls, Windham",05101,
"05141, Cambridgeport, Windham",05141,
"05142, Cavendish, Windsor",05142,
"05143, Chester, Windsor",05143,
"05144, Chester Depot, Windsor",05144,
"05146, Grafton, Windham",05146,
"05148, Londonderry, Windham",05148,
"05149, Ludlow, Windsor",05149,
"05150, North Springfield, Windsor",05150,
"05151, Perkinsville, Windsor",05151,
"05152, Peru, Bennington",05152,
"05153, Proctorsville, Windsor",05153,
"05154, Saxtons River, Windham",05154,
"05155, South Londonderry, Windham",05155,
"05156, Springfield, Windsor",05156,
"05158, Westminster, Windham",05158,
"05159, Westminster Station, Windham",05159,
"05161, Weston, Windsor",05161,
"05201, Bennington, Bennington",05201,
"05250, Arlington, Bennington",05250,
"05251, Dorset, Bennington",05251,
"05252, East Arlington, Bennington",05252,
"05253, East Dorset, Bennington",05253,
"05254, Manchester, Bennington",05254,
"05255, Manchester Center, Bennington",05255,
"05257, North Bennington, Bennington",05257,
"05260, North Pownal, Bennington",05260,
"05261, Pownal, Bennington",05261,
"05262, Shaftsbury, Bennington",05262,
"05301, Brattleboro, Windham",05301,
"05302, Brattleboro, Windham",05302,
"05303, Brattleboro, Windham",05303,
"05304, Brattleboro, Windham",05304,
"05340, Bondville, Bennington",05340,
"05341, East Dover, Windham",05341,
"05342, Jacksonville, Windham",05342,
"05343, Jamaica, Windham",05343,
"05344, Marlboro, Windham",05344,
"05345, Newfane, Windham",05345,
"05346, Putney, Windham",05346,
"05350, Readsboro, Bennington",05350,
"05351, South Newfane, Windham",05351,
"05352, Stamford, Bennington",05352,
"05353, Townshend, Windham",05353,
"05354, Vernon, Windham",05354,
"05355, Wardsboro, Windham",05355,
"05356, West Dover, Windham",05356,
"05357, West Dummerston, Windham",05357,
"05358, West Halifax, Windham",05358,
"05359, West Townshend, Windham",05359,
"05360, West Wardsboro, Windham",05360,
"05361, Whitingham, Windham",05361,
"05362, Williamsville, Windham",05362,
"05363, Wilmington, Windham",05363,
"05401, Burlington, Chittenden",05401,
"05402, Burlington, Chittenden",05402,
"05403, South Burlington, Chittenden",05403,
"05404, Winooski, Chittenden",05404,
"05405, Burlington, Chittenden",05405,
"05406, Burlington, Chittenden",05406,
"05407, South Burlington, Chittenden",05407,
"05408, Burlington, Chittenden",05408,
"05439, Colchester, Chittenden",05439,
"05440, Alburg, Grand Isle",05440,
"05441, Bakersfield, Franklin",05441,
"05442, Belvidere Center, Lamoille",05442,
"05443, Bristol, Addison",05443,
"05444, Cambridge, Chittenden",05444,
"05445, Charlotte, Chittenden",05445,
"05446, Colchester, Chittenden",05446,
"05447, East Berkshire, Franklin",05447,
"05448, East Fairfield, Franklin",05448,
"05449, Colchester, Chittenden",05449,
"05450, Enosburg Falls, Franklin",05450,
