zip_code,county,median_income
5001,Windsor,79300
5009,Windsor,79300
5030,Windsor,79300
5031,Windsor,79300
5032,Windsor,79300
5033,Orange,74400
5034,Windsor,79300
5035,Windsor,79300
5036,Orange,74400
5037,Windsor,79300
5038,Orange,74400
5039,Orange,74400
5040,Orange,74400
5041,Orange,74400
5042,Caledonia,66600
5043,Orange,74400
5045,Orange,74400
5046,Caledonia,66600
5047,Windsor,79300
5048,Windsor,79300
5049,Windsor,79300
5050,Caledonia,66600
5051,Orange,74400
5052,Windsor,79300
5053,Windsor,79300
5054,Orange,74400
5055,Windsor,79300
5056,Windsor,79300
5058,Orange,74400
5059,Windsor,79300
5060,Orange,74400
5061,Orange,74400
5062,Windsor,79300
5065,Windsor,79300
5067,Windsor,79300
5068,Windsor,79300
5069,Caledonia,66600
5070,Orange,74400
5071,Windsor,79300
5072,Orange,74400
5073,Windsor,79300
5074,Orange,74400
5075,Orange,74400
5076,Orange,74400
5077,Orange,74400
5079,Orange,74400
5081,Orange,74400
5083,Orange,74400
5084,Windsor,79300
5085,Orange,74400
5086,Orange,74400
5088,Windsor,79300
5089,Windsor,79300
5091,Windsor,79300
5101,Windham,70900
5141,Windham,70900
5142,Windsor,79300
5143,Windsor,79300
5144,Windsor,79300
5146,Windham,70900
5148,Windham,70900
5149,Windsor,79300
5150,Windsor,79300
5151,Windsor,79300
5152,Bennington,69900
5153,Windsor,79300
5154,Windham,70900
5155,Windham,70900
5156,Windsor,79300
5158,Windham,70900
5159,Windham,70900
5161,Windsor,79300
5201,Bennington,69900
5250,Bennington,69900
5251,Bennington,69900
5252,Bennington,69900
5253,Bennington,69900
5254,Bennington,69900
5255,Bennington,69900
5257,Bennington,69900
5260,Bennington,69900
5261,Bennington,69900
5262,Bennington,69900
5301,Windham,70900
5302,Windham,70900
5303,Windham,70900
5304,Windham,70900
5340,Bennington,69900
5341,Windham,70900
5342,Windham,70900
5343,Windham,70900
5344,Windham,70900
5345,Windham,70900
